This is colorSpec.  Version: 1.2-1.  Author: Glenn Davis [aut, cre].  Built: R 4.0.3; ; 2020-11-24 03:42:15 UTC; unix
BEGIN_SCANNER_ACES
Wavelength,r,g,b
458,0,0.000306507538169767,0.0256027666606239
460,0,0.000340031800157085,0.0284963255288589
462,0,0.000378345242428306,0.0312086011908912
464,0,0.000426237045267332,0.0335060172079597
466,0,0.000474128848106358,0.0348621550389759
468,0,0.000517231470661482,0.0347192202033161
470,0,0.000560334093216605,0.0325577665908996
472,0,0.000603436715771729,0.0283255009691679
474,0,0.000641750158042949,0.0227928769644824
476,0,0.00068006360031417,0.0168209898063059
478,0,0.000718377042585391,0.0112953382326282
480,0,0.000756690484856612,0.00707004504190431
482,0,0.000780636386276125,0.00428804506979403
484,0,0.00079021474684393,0.00247521300776729
486,0,0.000795003927127833,0.00141888971008632
488,0,0.000799793107411735,0.000847150367447114
490,0,0.000833317369399054,0.000522932325584638
492,0,0.00088120917223808,0.00030330074883909
494,0,0.000938679335644911,0.000177796990698777
496,0,0.00101051703990345,0.00011504511162862
498,0,0.0011015114652976,8.71553875974397e-05
500,0,0.00122603015267907,6.97243100779518e-05
502,0,0.00141759736403517,4.88070170545662e-05
504,0,0.00170494818106933,3.13759395350783e-05
506,0,0.00205934752207812,1.39448620155904e-05
508,0,0.00246163866592594,3.48621550389759e-06
510,0,0.00287350817034156,0
512,0,0.0033045343958928,0
514,0,0.00376908488343135,0
516,0,0.00425279209210552,0
518,0,0.00474128848106358,0
520,0,0.00524415241087335,0
522,0,0.00575180552096703,0
524,0,0.00627382617191242,0
526,0,0.00683416026512902,0
528,0,0.00745196452175246,0
530,0,0.00816076320377004,0
532,0,0.00875941073925787,0
534,0,0.00931016647190667,0
536,0,0.0103015267906745,0
538,0,0.0122411448056551,0
540,0,0.0156558303480776,0
542,0,0.0218003486523247,0
544,0,0.0301862033294381,0
546,0,0.0387061550545009,0
548,0,0.045291277944867,0
550,0,0.0478918028390261,0
552,0,0.0450566081109557,0
554,0,0.0379877780119155,0
556,0,0.0286536656385893,0
558,0,0.0192668722821402,0
560,0,0.0122555123465068,0
562,0,0.00835233041512615,0
564,0,0.00615409666481485,0
566,0,0.00503342847838164,0
568,0,0.00434378651749966,0
570,0,0.00343863144384207,0
572,4.89841121097244e-05,0.00237543342081569,0
574,0.000159730800357797,0.00158042949368786,0
576,0.000283255952634493,0.00101051703990345,0
578,0.000376964688844401,0.000617804256623436,0
580,0.000419559568939814,0.000340031800157085,0
582,0.000413170336925502,0.000158042949368786,0
584,0.000385483664863484,6.22593436907339e-05,0
586,0.000347148272777612,1.43675408517078e-05,0
588,0.000310942624696512,0,0
590,0.000287515440644035,0,0
592,0.00027260723261064,0,0
594,0.000266218000596328,0,0
596,0.000266218000596328,0,0
598,0.00027260723261064,0,0
600,0.000285385696639264,0,0
602,0.000317331856710823,0,0
604,0.00037483494483963,0,0
606,0.000455765217020914,0,0
608,0.000557992929249904,0,0
610,0.000677258593517059,0,0
612,0.00081569195382715,0,0
614,0.000981811986199259,0,0
616,0.00117774843463816,0,0
618,0.00139498232312476,0,0
620,0.0016313839076543,0,0
622,0.00189547216424586,0,0
624,0.0021893768369042,0,0
626,0.00250244920560549,0,0
628,0.00281765131831154,0,0
630,0.0031179452229842,0,0
632,0.00340120117561869,0,0
634,0.00367167866422456,0,0
636,0.00392511820079227,0,0
638,0.00414661157728841,0,0
640,0.00432976956169868,0,0
642,0.00445968394598969,0,0
644,0.0045533926821996,0,0
646,0.00463006346637134,0,0
648,0.00471738297056694,0,0
650,0.00484516761085318,0,0
652,0.00500063892320143,0,0
654,0.00517953741960217,0,0
656,0.00541806874813648,0,0
658,0.00575456830089023,0,0
660,0.00622524172594454,0,0
